year,state,dem_cand,dem_vote,rep_cand,rep_vote,tot_state_vote
1984,South Carolina,"Mondale, Walter",344459,"Reagan, Ronald",615539,968529
1984,South Dakota,"Mondale, Walter",116113,"Reagan, Ronald",200267,317867
1984,Tennessee,"Mondale, Walter",711714,"Reagan, Ronald",990212,1711993
1984,Texas,"Mondale, Walter",1949276,"Reagan, Ronald",3433428,5397571
1984,Utah,"Mondale, Walter",155369,"Reagan, Ronald",469105,629656
1984,Vermont,"Mondale, Walter",95730,"Reagan, Ronald",135865,234561
1984,Virginia,"Mondale, Walter",796250,"Reagan, Ronald",1337078,2146635
1984,Washington,"Mondale, Walter",798352,"Reagan, Ronald",1051670,1874910
1984,West Virginia,"Mondale, Walter",328125,"Reagan, Ronald",405483,735742
1984,Wisconsin,"Mondale, Walter",995740,"Reagan, Ronald",1198584,2211689
1984,Wyoming,"Mondale, Walter",53370,"Reagan, Ronald",133241,188968
1988,Alabama,"Dukakis, Michael",549506,"Bush, George H.W.",815576,1378476
1988,Alaska,"Dukakis, Michael",72584,"Bush, George H.W.",119251,200116
1988,Arizona,"Dukakis, Michael",454029,"Bush, George H.W.",702541,1171873
1988,Arkansas,"Dukakis, Michael",349237,"Bush, George H.W.",466578,827738
1988,California,"Dukakis, Michael",4702233,"Bush, George H.W.",5054917,9887065
1988,Colorado,"Dukakis, Michael",621453,"Bush, George H.W.",728177,1372394
1988,Connecticut,"Dukakis, Michael",676584,"Bush, George H.W.",750241,1443394
1988,Delaware,"Dukakis, Michael",108647,"Bush, George H.W.",139639,249891
1988,District of Columbia,"Dukakis, Michael",159407,"Bush, George H.W.",27590,192877
1988,Florida,"Dukakis, Michael",1656701,"Bush, George H.W.",2618885,4302313
1988,Georgia,"Dukakis, Michael",714792,"Bush, George H.W.",1081331,1809672
1988,Hawaii,"Dukakis, Michael",192364,"Bush, George H.W.",158625,354461
1988,Idaho,"Dukakis, Michael",147272,"Bush, George H.W.",253881,408968
1988,Illinois,"Dukakis, Michael",2215940,"Bush, George H.W.",2310939,4559120
